english_canonical,devanagari,main_id,main_name_np,main_name_en,sub_id,sub_name_np,sub_name_en,variations,confidence,notes
Surnames,सुर्नामेस,7,अन्य सामाजिक समूह,Other Social Groups,704,अनिश्चित,Uncertain,"",low,"Requires manual review"
AACHARYA,आचार्या,1,खस-आर्य,Khas-Arya,101,बाहुन,Brahmin (Bahun),"",medium,"Suffix pattern: -acharya"
AAFRIN,आफृन,7,अन्य सामाजिक समूह,Other Social Groups,704,अनिश्चित,Uncertain,"",low,"Requires manual review"
AALA,आला,7,अन्य सामाजिक समूह,Other Social Groups,704,अनिश्चित,Uncertain,"",low,"Requires manual review"
AALAM,आलाम,7,अन्य सामाजिक समूह,Other Social Groups,704,अनिश्चित,Uncertain,"",low,"Requires manual review"
AALEMAGAR,आलेमागार,7,अन्य सामाजिक समूह,Other Social Groups,704,अनिश्चित,Uncertain,"",low,"Requires manual review"
AASHISH,आशिश,7,अन्य सामाजिक समूह,Other Social Groups,704,अनिश्चित,Uncertain,"",low,"Requires manual review"
AATREYA,आत्रेया,7,अन्य सामाजिक समूह,Other Social Groups,704,अनिश्चित,Uncertain,"",low,"Requires manual review"
AAUJI,आउजि,7,अन्य सामाजिक समूह,Other Social Groups,704,अनिश्चित,Uncertain,"",low,"Requires manual review"
AAZAD,आजाद,7,अन्य सामाजिक समूह,Other Social Groups,704,अनिश्चित,Uncertain,"",low,"Requires manual review"
ACHAJU,अचाजु,7,अन्य सामाजिक समूह,Other Social Groups,704,अनिश्चित,Uncertain,"",low,"Requires manual review"
ACHARAYA,अचाराया,7,अन्य सामाजिक समूह,Other Social Groups,704,अनिश्चित,Uncertain,"",low,"Requires manual review"
ACHARJ,अचार्ज,7,अन्य सामाजिक समूह,Other Social Groups,704,अनिश्चित,Uncertain,"",low,"Requires manual review"
ACHARJU,अचार्जु,7,अन्य सामाजिक समूह,Other Social Groups,704,अनिश्चित,Uncertain,"",low,"Requires manual review"
ACHARY,अचार्य,7,अन्य सामाजिक समूह,Other Social Groups,704,अनिश्चित,Uncertain,"",low,"Requires manual review"
ACHARYA,आचार्य,1,खस-आर्य,Khas-Arya,101,बाहुन,Brahmin (Bahun),"Acharya",high,"Hill Bahun priest"
ACHARYANI,अचार्यानि,7,अन्य सामाजिक समूह,Other Social Groups,704,अनिश्चित,Uncertain,"",low,"Requires manual review"
ACHAYA,अचाया,7,अन्य सामाजिक समूह,Other Social Groups,704,अनिश्चित,Uncertain,"",low,"Requires manual review"
ACHAYRA,अचाय्रा,7,अन्य सामाजिक समूह,Other Social Groups,704,अनिश्चित,Uncertain,"",low,"Requires manual review"
ACHHAMI,अछामि,7,अन्य सामाजिक समूह,Other Social Groups,704,अनिश्चित,Uncertain,"",low,"Requires manual review"
ACHRYA,अच्र्या,7,अन्य सामाजिक समूह,Other Social Groups,704,अनिश्चित,Uncertain,"",low,"Requires manual review"
ADHAKARE,अधाकारे,7,अन्य सामाजिक समूह,Other Social Groups,704,अनिश्चित,Uncertain,"",low,"Requires manual review"
ADHAKARI,अधाकाऋ,7,अन्य सामाजिक समूह,Other Social Groups,704,अनिश्चित,Uncertain,"",low,"Requires manual review"
ADHIAKARI,अधिअकाऋ,7,अन्य सामाजिक समूह,Other Social Groups,704,अनिश्चित,Uncertain,"",low,"Requires manual review"
ADHIAKRI,अधिअकृ,7,अन्य सामाजिक समूह,Other Social Groups,704,अनिश्चित,Uncertain,"",low,"Requires manual review"
ADHIKAARI,अधिकाऋ,7,अन्य सामाजिक समूह,Other Social Groups,704,अनिश्चित,Uncertain,"",low,"Requires manual review"
ADHIKAR,अधिकार,5,नेवार,Newar,503,निम्न नेवार,Lower Newar,"",medium,"Suffix pattern: -kar"
ADHIKAREE,अधिकारी,7,अन्य सामाजिक समूह,Other Social Groups,704,अनिश्चित,Uncertain,"",low,"Requires manual review"
ADHIKARI,अधिकारी,1,खस-आर्य,Khas-Arya,101,बाहुन,Brahmin (Bahun),"Adhikari",high,"Hill Bahun"
ADHIKARY,अधिकारी,1,खस-आर्य,Khas-Arya,101,बाहुन,Brahmin (Bahun),"Adhikari",high,"Hill Bahun"
ADHIKRI,अधिकृ,7,अन्य सामाजिक समूह,Other Social Groups,704,अनिश्चित,Uncertain,"",low,"Requires manual review"
